workerid,proliferate.condition,bike_cause,bike_fault,bike_punish,bike_simple,mirror_cause,mirror_fault,mirror_punish,mirror_simple,error
649,intentional,andy,andy,nobody should be punished for something like this,suzy,bobby,bobby,nobody should be punished accidents happen,bobby,
661,intentional,Andy is at fault,Andy,Andy should be punished,Suzy broke the fence,"The girl, Sophia","The girl, sophia",Yes. Sophia should be punished because she was trying to crack the mirror,"The girl, sophia",
668,intentional,Andy riding his bike into Susie and pushing her into the fence,Andy's,Andy caused the fence to be broken because he was being reckless so he should be punished,Andy,Susie caused the mirror to crack by being reckless,Susie,Susie should be punished because it is her fault,Susie is at fault because she caused Bobby to fall into the mirror,
656,intentional,Andy,Andy,No just Andy,Andy,Bobby,Sophia,Just Sophia,Bobby,
666,intentional,the boy,the boy,the boy,the boy,sofia,sofia,sofia,Bobby,
647,intentional,The boy caused it to break,The boy riding into the girl causing her to fall into the fence,"The boy should be punished, the girl did nothing wrong.",Technically the girl broke the fence since she was thrown into it but the boy on the bike caused her to go into the fence so it's the boy's fault and he broke the fence in reality.,"the girl ran into the boy causing the mirror to crack so the boy cracked it, but the girl caused the boy to crack the mirror by running into him.",the girl's fault by running into the boy,the girl should be the only one being punished,the boy did ,
653,intentional,"Suzy fell, or got knocked, into it.",Andy,Andy,Physically Suzy but Andy caused it to happen.,Bobby as he fell into it but Sophia caused Bobby to fall into it. ,Sophia.  She caused Bobby to fall into it,Sophia.  She caused Bobby to fall into it,Bobby cracked it as he fell into it,
660,intentional,Andy,Andy,Andy,Suzy,Sophia,Sophia,Sophia,Bobby,
652,intentional,Andy caused it by running into Suzy,It is Andy's fault.,No because it was an accident.,Suzy's body broke the fence.,Sophia caused the mirror to break by running into him.,Sophia is responsible.,No because overall it was an accident.,Sophia is responsible for the mirror breaking although his body caused it.,
659,intentional,Andy,Andy,Andy,suzy,sophia,sophia,sophia,Bobby,
657,intentional,"Andy, by running into Suzy.",Andy. He wanted to break the fence on purpose. Suzy just happened to be in the wrong place at the wrong time.,"Andy should be punished for wanting to break the fence, and for being reckless.","Andy. Technically Suzy is the one who fell into it, but she was pushed by Andy.","Bobby physically caused the mirror to crack, but it was because Sophia knocked him into it. So I feel like it was really her that caused it.","Sophia. She ran into Bobby, and she wanted to crack it.","Sophia should be punished. Even if running into and knocking Bobby into the mirror was an accident, she had run into the room with the intention of breaking the mirror. Bobby isn't at fault at all.","Sophia cracked the mirror by running into Bobby and knocking him into it. Technically Bobby physically cracked it, but Sophia is the one who wanted to crack the mirror, and who knocked him into it.",
667,intentional,The girl caused the fence to break.,Suzie caused the fence to break.,andy should be punished.,Susie caused the fence to break.,Sophie,Bobby technically cracked the mirror.,Sophie should be punished for cracking the mirror.,Sophie caused the mirror to become cracked.,
665,intentional,Andy,Andy,"
Andy",Andy & Suzy,Bobby ,Hers,She should be punished,Bobby,
651,intentional,Andy caused the fence to crack.,Andy is at fault for breaking the fence.,Andy should be punished.,Suzy broke the fence.,Sophia caused the mirror to crack.,Sophia is at fault for cracking the mirror.,Sophia should be punished.,Bobby cracked the mirror.,
664,intentional,Andy,It is Andy's fault.,Andy should be punished because he ran into the girl.,Suzy ,Bobby fell into the mirror,It is Bobby's fault. ,"No, I think it was an accident.",Bobby,
655,intentional,Technically Suzy but it was Andy's fault. ,Andy,"Andy was being careless and could have hurt Suzy, so Andy",Suzy,Both of them,Sophia,Sophia,Bobby,
658,intentional,The boy caused the fence to break when he ran into Suzie.,The bike rider.,"The biker rider wanted to break the fence.  He was riding too fast, hit Suzie causing her body to break the fence.  He should be punished.",Suzy broke the fence when she was run over by the bike rider.,Sophia,Sopia,Sophia was planning to break the mirror.  She ran so fast she ran into Bobby causing him to crack the mirror.,Sophia,
663,intentional,Suzy caused the fence to break by falling into it.,Andy riding on his bike.,If someone were to be punished it should be Andy as he initially wanted to break the fence in the first place and crashed into Suzy.,Suzy broke the fence unintentionally by being pushed into it by Andy running right into Suzy on his bike.,The mirror cracked due to Bobby falling into it.,The fault is with Sophia.,The person to be punished should be Sophia as cracking the mirror was her initial intention and bumped into Bobby.,Bobby cracked the mirror.,
650,intentional,"Andy ran into Suzy who fell into the fence, breaking it.",Andy,Andy,Andy was responsible for Suzy breaking the fence,She ran into Bobby who cracked the mirror,Lydia,Lydia,Bobby,
648,intentional,Suzie falling into it,Andy,Andy because he hit Suzie and that's what broke the fence,Suzie when she fell after Andy hit her with his bike,the girl when she ran into the boy,the girl for running,the girl because she was running in the house and ran into Bobby and that caused the mirror to crack,Bobby did when he fell into it,
